L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
466.02,914.78,1540.455,1484.36,1941.75,202.805
352.82,659.62,1058.46,1457.3,2262.65,197.5025
386.96,621.9,1202.34,1547.84,2090.275,157.2025
359.1,756,1086.75,1411.2,1543.5,185.85
324.8,701.8,1009.2,1357.2,1551.5,126.15
301.205,517.96,996.51,1283.64,1238.6,123.86
334.53,481.95,748.44,1270.08,1275.75,138.915
260.13,568.1,1058.46,1375.4,1285.7,142.025
335.32,564.4,896.4,1248.32,1709.8,192.56
428.64,639.2,1003.92,1564.16,2274.8,188
361.1,832.1,1000.875,1507.2,2256.875,227.65
393.775,721.23,1056.975,1923.28,2466.275,203.105
518.52,965.52,1180.08,2163.48,2503.2,192.21
436.8,910,1624.35,1783.6,2138.5,202.475
423.9,970.26,1384.74,1695.6,2637.6,277.89
510.825,1148.14,1722.21,1984.92,2894.675,260.2775
445.55,1050.56,1336.65,1688.4,2743.65,204.015
416.325,896.7,1372.5,1903.2,2287.5,251.625
410.865,1002.33,1571.22,1878.24,2392.95,218.9775
540.87,947.64,1220.31,1966.8,1922.1,230.205
374.85,882,1217.16,1499.4,2138.85,260.19
430.825,1043.05,1401.315,2013.54,2426.225,201.8075
598.345,1038.45,1409.325,1720.86,2818.65,281.865
540.1,1158.76,1266.78,1846.16,2234.05,255.32
379.72,742.18,1423.95,1587.92,2092.775,187.7025
360.49,905.06,1369.095,1365.26,2166.775,210.925
352.41,760.1,974.31,1243.8,1658.4,190.025
296.1,655.2,1030.05,1474.2,1575,181.125
281.3,591.6,843.9,1310.8,1247,153.7
270.24,619.3,827.61,1024.66,1323.05,122.4525
297.675,663.39,799.47,1190.7,1275.75,147.42
352.82,627.9,1049.49,1112.28,1420.25,156.975
365.2,624.16,1105.56,1301.44,1693.2,190.9
376,804.64,1263.36,1579.2,1748.4,178.6
455.3,949.85,1012.65,1570,2001.75,188.4
480.82,729.52,1206.195,1840.38,1865.25,219.685
455.94,804.6,1595.79,2127.72,2413.8,243.615
459.55,1046.5,1556.1,1692.6,2047.5,227.5
452.16,1064.46,1229.31,2166.6,2496.3,259.05
544.88,963.27,1678.425,1751.4,2943.325,274.8725
398.65,1050.56,1322.58,1838.48,2368.45,246.225
507.825,832.65,1207.8,1775.1,2767.875,265.35
478.59,794.64,1205.505,2058.84,2076.9,191.8875
518.52,849.3,1381.23,2056.2,2659.65,263.73
445.41,934.92,1190.7,1834.56,2094.75,216.09
390.01,843.51,1510.155,1995.4,2358.2,195.005
449.995,1147.24,1483.5,1859.32,2299.425,234.8875
549.92,1011.46,1782.33,1944.36,2111.3,255.32
366.775,949.3,1436.895,1915.86,2286.95,226.5375
398.84,889.72,977.925,1457.3,1975.025,212.8425
355.865,780.83,1088.325,1257.62,2073,158.93
371.7,541.8,945,1411.2,1779.75,138.6
292.9,597.4,983.1,1229.6,1392,150.8
304.02,512.33,810.72,1193.56,1196.375,156.2325
331.695,612.36,807.975,1156.68,1204.875,167.265
316.94,681.72,825.24,1016.6,1554.8,137.54
341.96,730.4,996,1181.92,1942.2,184.26
454.96,721.92,981.36,1684.48,2180.8,169.2
372.875,769.3,1318.8,1711.3,1727,192.325
484.965,1003.09,1280.805,1442.46,2238.3,178.235
509.58,768.84,1448.28,2091.96,2480.85,227.97
404.95,882.7,1487.85,2147.6,2093,263.9
419.19,876.06,1526.04,1752.12,2143.05,228.435
554.61,1002.19,1401.12,1829.24,2554.125,282.17
422.1,928.62,1421.07,1800.96,2673.3,222.775
544.425,1043.1,1592.1,1555.5,2264.625,219.6
460.53,812.7,1598.31,1751.82,2505.825,191.8875
527.46,786.72,1528.74,1591.32,2235,259.26
467.46,926.1,1217.16,2010.96,2160.9,189.63
