L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
352.41,587.35,1036.5,1299.08,1762.05,202.1175
318.15,686.7,926.1,1071,1764,173.25
249.4,551,852.6,1125.2,1232.5,134.85
275.87,501.07,726.27,990.88,1435.65,136.5275
266.49,618.03,773.955,1349.46,1275.75,146.0025
278.07,681.72,1058.46,1279.72,1390.35,133.055
378.48,770.24,1205.16,1474.08,1942.2,169.32
387.28,887.36,1353.6,1293.44,2180.8,201.16
439.6,824.25,1189.275,1836.9,2315.75,178.5875
364.76,978.22,1392.72,1558.52,2072.5,207.25
491.7,1019.16,1568.97,1948.92,2369.1,225.735
395.85,1028.3,1419.6,1983.8,2070.25,227.5
494.55,1139.82,1370.61,1808.64,2001.75,242.565
525.42,836.78,1751.4,1926.54,2164.925,270.0075
459.62,1116.22,1632.12,2194.92,2087.05,260.295
521.55,1015.65,1358.775,1976.4,2562,258.4875
496.65,803.67,1381.59,1589.28,2596.125,268.6425
447,858.24,1367.82,1734.36,2011.5,245.85
423.36,882,1296.54,1852.2,2315.25,213.885
426.29,798.16,1210.845,1940.98,2743.675,192.7375
425.27,949.44,1720.86,1938.44,2596.125,234.8875
579.38,1178.4,1531.92,2199.68,2553.2,230.77
517.8,1044.23,1139.16,1846.82,2524.275,220.065
329.81,912.73,1058.46,1303.9,2109.25,172.575
376.595,642.63,891.39,1188.52,1762.05,191.7525
371.7,567,850.5,1083.6,1370.25,170.1
272.6,493,930.9,1357.2,1276,126.15
239.275,563,726.27,990.88,1435.65,129.49
286.335,680.4,876.015,1179.36,1601.775,131.8275
307.97,627.9,852.15,1411.28,1420.25,171.925
338.64,571.04,1085.64,1527.2,1992,194.22
417.36,849.76,1116.72,1413.76,1992.8,212.44
427.825,706.5,1236.375,1852.6,1668.125,170.7375
480.82,994.8,1231.065,1873.54,2259.025,201.0325
433.59,947.64,1260.54,1805.88,2078.55,223.5
473.2,937.3,1242.15,1674.4,2639,257.075
555.78,1073.88,1427.13,2279.64,2402.1,207.24
569.205,914.62,1371.93,1887.62,2383.85,274.8725
436.17,1050.56,1350.72,2101.12,2415.35,276.71
434.625,823.5,1303.875,1738.5,2562,258.4875
546.315,921.06,1395.135,1571.22,2302.65,259.6125
384.42,1063.86,1528.74,1591.32,2324.4,245.85
423.36,811.44,1481.76,1728.72,2557.8,257.985
498.85,1079.33,1197.24,2158.66,2335.525,224.4825
588.455,909.88,1587.345,2057.12,2274.7,239.8325
422.26,982,1767.6,2278.24,2405.9,238.135
435.815,837.11,1527.51,1587.92,1898.6,230.8525
375.83,874.38,1081.47,1825.46,2301,220.5125
383.505,808.47,1243.8,1672.22,1623.85,207.3
289.8,699.3,812.7,1247.4,1480.5,144.9
301.6,649.6,957,1206.4,1638.5,143.55
278.685,613.67,844.5,1249.86,1449.725,146.38
320.355,504.63,850.5,1054.62,1644.3,143.1675
257.14,568.1,905.97,1291.68,1509.95,168.935
365.2,770.24,986.04,1434.24,1842.6,170.98
323.36,767.04,1116.72,1759.68,2068,212.44
337.55,675.1,1318.8,1742.7,1982.125,221.7625
385.485,994.8,1156.455,1906.7,2113.95,194.815
384.42,1037.04,1461.69,1698.6,2033.85,245.85
386.75,910,1337.7,1838.2,2184,275.275
433.32,979.68,1695.6,2204.28,2849.55,247.275
471.905,1011.92,1517.88,2023.84,2505.475,214.06
422.1,1013.04,1519.56,2101.12,2767.1,199.325
448.35,1079.7,1523.475,1775.1,2539.125,228.75
546.315,930.09,1259.685,2058.84,2663.85,270.9
469.35,849.3,1595.79,1662.84,2369.1,216.795
498.33,970.2,1283.31,1887.48,2094.75,233.73
403.615,1024.91,1442.13,1922.84,2040.75,253.96
459.885,1157.13,1320.315,2195.58,2274.7,254.6675
466.45,1099.84,1414.08,2199.68,2184.95,223.405
388.35,819.85,1462.785,1881.34,2049.625,198.49
391.17,813.02,1357.59,1534,1840.8,220.5125
331.68,767.01,963.945,1478.74,1554.75,165.84
270.9,730.8,822.15,1234.8,1606.5,174.825
249.4,609,1000.5,1299.2,1711,158.05
298.39,664.34,819.165,968.36,1266.75,129.49
260.82,532.98,918.54,1326.78,1275.75,155.925
293.02,675.74,762.45,1339.52,1285.7,145.015
365.2,690.56,1055.76,1580.32,1875.8,146.08
379.76,879.84,1229.52,1684.48,2218.4,184.24
372.875,792.85,1295.25,1601.4,2335.375,172.7
410.355,712.94,1305.675,1757.48,2362.65,196.8875
388.89,992.34,1153.26,2127.72,2480.85,223.5
500.5,910,1324.05,1619.8,2707.25,222.95
499.26,951.42,1243.44,1752.12,2449.2,242.565
462.175,914.62,1663.83,2315.74,2554.125,265.1425
487.76,1106.84,1688.4,1988.56,2720.2,215.74
393.45,777.75,1331.325,1903.2,2676.375,201.3
505.68,1092.63,1286.775,2131.08,2009.175,207.69
527.46,1081.74,1233.72,1716.48,2391.45,207.855
458.64,952.56,1508.22,1517.04,2491.65,216.09
408.15,907,1265.265,1687.02,2607.625,251.6925
568.675,949.44,1557.675,1938.44,2917.55,281.865
589.2,883.8,1738.14,2238.96,2577.75,274.96
379.72,1044.23,1320.39,1501.62,2502.7,239.4825
333.645,743.99,1150.5,1349.92,2320.175,162.9875
383.505,732.46,881.025,1616.94,1831.15,171.0225
299.25,579.6,878.85,1461.6,1370.25,159.075
310.3,701.8,965.7,1334,1290.5,142.1
318.095,540.48,861.39,1013.4,1238.6,149.195
326.025,652.05,850.5,1326.78,1403.325,124.74
272.09,520.26,995.67,1387.36,1300.65,173.42
335.32,650.72,906.36,1128.8,1875.8,152.72
391.04,729.44,1184.4,1669.44,2256,197.4
412.125,730.05,1189.275,1397.3,1903.625,206.0625
426.935,870.45,1467.33,1575.1,2279.75,211.395
433.59,1081.74,1461.69,1931.04,1922.1,196.68
418.6,973.7,1487.85,2129.4,2639,243.425
513.39,951.42,1356.48,1884,2566.95,221.37
569.205,846.51,1532.475,2237.9,2116.275,260.2775
454.93,1013.04,1477.35,1894.76,2087.05,283.745
512.4,896.7,1386.225,1665.3,2104.5,274.5
456.015,957.18,1503.495,1787.94,2302.65,266.385
424.65,804.6,1622.61,2002.56,2436.15,189.975
493.92,890.82,1600.83,1569.96,2623.95,194.04
444.43,979.56,1333.29,1850.28,2584.95,206.3425
539.005,1028.56,1587.345,1918.66,2200.525,212.635
446.81,1188.22,1620.3,1964,2725.05,287.235
487.595,733.55,1320.39,1760.52,2373.25,261.0575
425.685,851.37,1392.105,1687.4,1629.875,218.595
293.675,787.74,1026.135,1202.34,2038.45,191.7525
305.55,749.7,916.65,1285.2,1701,179.55
316.1,591.6,817.8,1218,1464.5,145
334.985,669.97,852.945,1204.82,1703.075,121.045
272.16,674.73,935.55,1326.78,1615.95,141.75
304.98,526.24,816.27,1231.88,1450.15,139.035
365.2,710.48,1155.36,1274.88,1909,195.88
342.16,782.08,1308.48,1819.84,1823.6,169.2
388.575,753.6,1377.675,1695.6,2276.5,235.5
406.21,994.8,1255.935,1989.6,1803.075,242.4825
540.87,849.3,1220.31,1555.56,2235,261.495
486.85,982.8,1405.95,1710.8,2616.25,266.175
466.29,1102.14,1526.04,2279.64,2284.35,261.405
428.12,914.62,1386.525,1654.1,2067.625,257.845
553.42,1059.94,1449.21,2232.44,2251.2,215.74
503.25,850.95,1482.3,2049.6,2150.25,240.1875
437.955,1020.39,1476.405,1535.1,1941.45,246.0675
478.29,974.46,1461.69,1913.16,2480.85,239.145
471.87,917.28,1256.85,1693.44,2579.85,251.37
426.29,1070.26,1265.265,2194.94,2380.875,199.54
425.27,939.55,1260.975,1701.08,2769.2,229.9425
554.83,873.98,1723.41,2180.04,2946,252.865
375.405,949.3,1126.215,1656.96,2135.925,250.27
352.82,805.35,1150.5,1365.26,1821.625,182.1625
390.415,732.46,891.39,1174.7,1882.975,183.115
321.3,567,1020.6,1310.4,1622.25,133.875
333.5,539.4,948.3,1125.2,1711,165.3
312.465,529.22,760.05,1069.7,1632.7,153.4175
314.685,663.39,833.49,1338.12,1403.325,146.0025
257.14,562.12,1022.58,1291.68,1420.25,159.965
328.68,783.52,1195.2,1248.32,1776.2,170.98
436.16,721.92,1139.28,1624.32,2199.6,172.96
392.5,808.55,1212.825,1727,2139.125,229.6125
443.515,969.93,1430.025,1807.22,2051.775,227.975
491.7,965.52,1193.49,1555.56,2436.15,248.085
436.8,1064.7,1610.7,2038.4,2275,232.05
508.68,810.12,1215.18,2147.76,2190.15,251.985
520.555,1080.03,1620.045,2257.36,2189.25,223.79
515.9,1041.18,1646.19,1707.16,2298.1,234.5
430.05,969.9,1290.15,1683.6,2264.625,210.45
397.32,903,1191.96,1932.42,2122.05,196.4025
536.4,938.7,1501.92,1805.88,2346.75,212.325
529.2,926.1,1137.78,2116.8,2337.3,257.985
507.92,1070.26,1374.105,1777.72,2675.65,222.215
514.28,1127.46,1468.665,2274.7,2991.725,244.7775
446.81,1060.56,1325.7,2081.84,2823.25,247.955
401.295,785.33,1566.345,1812.3,1920.175,196.3325
371.995,813.02,1035.45,1487.98,1975.025,170.6575
376.595,787.74,922.485,1202.34,1986.625,162.385
355.95,623.7,850.5,1499.4,1811.25,146.475
345.1,620.6,800.4,1009.2,1363,124.7
287.13,647.45,903.615,1069.7,1238.6,119.6375
328.86,532.98,841.995,1349.46,1630.125,168.6825
316.94,639.86,950.82,1207.96,1315.6,177.905
355.24,750.32,866.52,1540.48,1510.6,180.94
345.92,827.2,1263.36,1624.32,2011.6,165.44
427.825,753.6,1095.075,1774.1,1825.125,233.5375
426.935,804.13,1156.455,1774.06,2404.1,219.685
451.47,974.46,1461.69,1984.68,1899.75,259.26
459.55,837.2,1597.05,1747.2,2002,266.175
466.29,1064.46,1243.44,1639.08,2355,200.175
476.77,875.7,1240.575,2004.38,2675.75,294.3325
515.9,947.38,1491.42,2194.92,2298.1,201.67
471.225,1033.95,1605.825,2013,2584.875,272.2125
523.74,803.67,1232.595,2022.72,2528.4,261.87
406.77,911.88,1206.9,1573.44,2369.1,189.975
471.87,873.18,1283.31,1587.6,2094.75,238.14
535.13,852.58,1197.24,1850.28,2086.1,222.215
553.84,1097.79,1765.365,2314.26,2892.825,217.58
589.2,913.26,1752.87,1689.04,2356.8,287.235
444.445,742.18,1152.105,1812.3,2481.125,204.9625
371.995,851.37,1219.53,1672.06,2051.725,222.43
324.77,822.29,1160.88,1547.84,1986.625,174.4775
365.4,705.6,907.2,1108.8,1748.25,182.7
298.7,684.4,756.9,1102,1638.5,174
264.61,619.3,819.165,1171.04,1252.675,136.5275
289.17,521.64,756.945,1145.34,1573.425,128.9925
355.81,669.76,897,1291.68,1465.1,150.995
391.76,750.32,1175.28,1195.2,1477.4,156.04
357.2,902.4,1297.2,1293.44,2124.4,212.44
427.825,902.75,1295.25,1632.8,1668.125,174.6625
356.47,853.87,1430.025,1807.22,1782.35,230.0475
464.88,1063.86,1622.61,2145.6,1944.45,221.265
450.45,1082.9,1610.7,1874.6,2548,250.25
518.1,1007.94,1483.65,1676.76,2048.85,259.05
452.445,1011.92,1415.715,2335.2,2164.925,260.2775
558.11,1003.66,1266.3,2063.6,1993.25,236.845
516.975,878.4,1221.525,1866.6,2699.25,199.0125
410.865,803.67,1638.945,2167.2,2392.95,216.72
455.94,974.46,1421.46,1859.52,1899.75,254.79
410.13,996.66,1151.01,1905.12,2271.15,242.55
444.43,843.51,1346.895,1868.42,2539.6,238.0875
548.895,1048.34,1735.695,1720.86,2324.15,254.6675
545.01,1119.48,1340.43,2081.84,2356.8,262.685
401.295,733.55,1385.115,1812.3,2114.35,189.86
448.695,828.36,1150.5,1825.46,1936.675,226.265
393.87,822.29,1171.245,1603.12,2055.725,205.5725
274.05,762.3,954.45,1146.6,1779.75,190.575
278.4,551,756.9,1403.6,1363,171.1
273.055,658.71,903.615,1351.2,1674.925,166.085
323.19,629.37,867.51,1213.38,1630.125,168.6825
272.09,592.02,807.3,1184.04,1808.95,148.005
361.88,803.44,856.56,1580.32,1693.2,177.62
402.32,676.8,1331.04,1323.52,1729.6,199.28
451.375,777.15,1318.8,1397.3,2158.75,204.1
381.34,746.1,1430.025,1956.44,1844.525,215.54
429.12,965.52,1354.41,2127.72,2525.55,189.975
400.4,873.6,1296.75,2111.2,2047.5,220.675
414.48,1120.98,1243.44,1676.76,2637.6,237.855
486.5,1080.03,1576.26,1984.92,2919,291.9
408.03,994.28,1435.14,1744.68,2063.6,281.4
448.35,997.35,1523.475,1903.2,2264.625,263.0625
415.38,848.82,1205.505,1661.52,2257.5,255.0975
464.88,876.12,1193.49,1841.64,2078.55,201.15
463.05,1023.12,1230.39,1605.24,1984.5,233.73
503.385,825.37,1510.155,1632.6,2448.9,224.4825
534.06,929.66,1453.83,2274.7,2942.275,212.635
510.64,923.08,1590.84,2258.6,2135.85,294.6
461.705,932.04,1436.895,1864.08,2589,258.9
421.85,736.32,1392.105,1426.62,2128.425,172.575
331.68,628.81,1181.61,1285.26,1502.925,155.475
289.8,617.4,1030.05,1436.4,1354.5,140.175
292.9,678.6,896.1,1276,1609.5,127.6
273.055,484.18,954.285,1193.56,1294.9,119.6375
303.345,578.34,739.935,1054.62,1601.775,146.0025
284.05,723.58,852.15,1136.2,1808.95,168.935
371.84,763.6,926.28,1235.04,1460.8,184.26
357.2,676.8,1003.92,1759.68,1710.8,208.68
408.2,847.8,1083.3,1570,1825.125,174.6625
493.255,911.9,1367.85,1525.36,2031.05,227.975
442.53,911.88,1220.31,1770.12,2346.75,201.15
527.8,773.5,1405.95,2165.8,2570.75,247.975
494.55,1083.3,1356.48,1733.28,2472.75,219.015
457.31,1070.3,1634.64,2062.76,2554.125,257.845
469,853.58,1336.65,2082.36,2345,283.745
539.85,1079.7,1496.025,1939.8,2722.125,210.45
433.44,1083.6,1638.945,2076.9,2392.95,246.0675
420.18,885.06,1609.2,1841.64,1899.75,261.495
467.46,837.9,1270.08,2028.6,2205,231.525
430.825,1033.98,1414.92,1705.16,1950.05,258.495
588.455,1018.67,1379.655,1997.78,2447.775,229.9425
476.27,1178.4,1281.51,2140.76,2553.2,225.86
504.855,1009.71,1385.115,1691.48,2135.925,217.9075
429.52,728.65,1046.955,1779.44,2166.775,218.595
355.865,656.45,1129.785,1368.18,1952.075,200.39
374.85,636.3,907.2,1134,1590.75,165.375
298.7,551,1000.5,1322.4,1479,146.45
264.61,540.48,734.715,1002.14,1660.85,159.0475
255.15,640.71,841.995,1281.42,1318.275,168.6825
361.79,633.88,834.21,1052.48,1509.95,179.4
395.08,683.92,1025.88,1155.36,1411,149.4
451.2,909.92,1128,1609.28,2105.6,210.56
439.6,667.25,1130.4,1805.5,2139.125,198.2125
480.82,829,1342.98,1774.06,1906.7,180.3075
384.42,920.82,1300.77,2127.72,2346.75,216.795
473.2,864.5,1283.1,1874.6,2570.75,216.125
466.29,1036.2,1667.34,1639.08,2072.4,211.95
510.825,1021.65,1255.17,2237.9,2870.35,206.7625
515.9,1116.22,1407,1632.12,2415.35,206.36
462.075,850.95,1647,1775.1,2562,276.7875
388.29,1020.39,1354.5,1824.06,1918.875,230.265
505.11,965.52,1180.08,2127.72,2145.6,270.435
445.41,767.34,1164.24,1675.8,2447.55,235.935
458.035,816.3,1632.6,1977.26,2267.5,265.2975
529.115,1117.57,1394.49,2195.58,2447.775,269.5025
451.72,991.82,1546.65,1846.16,2356.8,274.96
414.24,793.96,1333.335,2019.42,2092.775,250.27
421.85,690.3,1081.47,1457.3,2166.775,228.1825
324.77,815.38,881.025,1285.26,1710.225,209.0275
346.5,567,1077.3,1184.4,1417.5,163.8
342.2,516.2,791.7,1044,1696.5,162.4
312.465,658.71,734.715,1114.74,1660.85,156.2325
317.52,646.38,995.085,1258.74,1318.275,138.915
343.85,711.62,888.03,1255.8,1764.1,149.5
335.32,637.44,1175.28,1142.08,1743,152.72
357.2,759.52,1297.2,1609.28,1654.4,167.32
380.725,902.75,1189.275,1522.9,2256.875,202.1375
493.255,878.74,1181.325,1840.38,2155.4,221.7575
514.05,759.9,1247.13,1752.24,1922.1,219.03
546,1001,1392.3,1565.2,2047.5,197.925
428.61,1120.98,1610.82,1752.12,2472.75,235.5
588.665,885.43,1620.045,1712.48,2554.125,255.4125
464.31,956.76,1603.98,2251.2,2016.7,222.775
439.2,979.05,1235.25,1866.6,2104.5,226.4625
415.38,930.09,1313.865,1806,2302.65,241.5525
491.7,795.66,1354.41,1519.8,1899.75,196.68
405.72,749.7,1508.22,1605.24,2623.95,207.27
485.245,988.63,1251.66,2176.8,2267.5,206.3425
543.95,909.88,1587.345,1819.76,2373.6,212.635
441.9,1178.4,1266.78,1865.8,2479.55,265.14
392.665,966.56,1359.225,1570.66,2243.8,200.6475
341.315,690.3,1058.46,1810.12,2301,193.6675
352.41,836.11,1243.8,1437.28,2055.725,176.205
267.75,554.4,850.5,1449,1748.25,155.925
261,574.2,1044,1032.4,1334,150.8
242.09,641.82,954.285,1159.78,1449.725,160.455
286.335,561.33,850.5,975.24,1686.825,123.3225
313.95,609.96,807.3,1447.16,1524.9,177.905
378.48,803.44,1065.72,1527.2,1411,151.06
424.88,639.2,1297.2,1804.8,1823.6,159.8
341.475,714.35,1165.725,1601.4,2139.125,190.3625
476.675,887.03,1081.845,1575.1,2466.275,192.7425
424.65,867.18,1166.67,1716.48,2279.7,189.975
459.55,928.2,1337.7,1619.8,2275,243.425
428.61,1036.2,1695.6,1846.32,2778.9,244.92
481.635,1011.92,1517.88,1770.86,2651.425,262.71
436.17,1134.98,1702.47,1782.2,2814,246.225
393.45,951.6,1496.025,1866.6,2539.125,235.6125
469.56,1065.54,1219.05,1806,2234.925,268.6425
447,1081.74,1260.54,1788,1966.8,248.085
511.56,1005.48,1217.16,1905.12,2050.65,198.45
439.895,834.44,1360.5,1904.7,2448.9,260.7625
534.06,850.54,1305.48,1819.76,2695.025,247.25
535.19,942.72,1473,2160.4,2086.75,274.96
509.17,785.33,1385.115,1950.38,2006.475,248.1125
325.975,659.62,1081.47,1595.36,1668.225,195.585
304.04,773.92,1015.77,1188.52,1537.475,188.2975
321.3,642.6,1096.2,1348.2,1653.75,168.525
301.6,667,1000.5,1299.2,1464.5,136.3
284.315,669.97,793.83,1058.44,1379.35,135.12
323.19,521.64,1003.59,1111.32,1545.075,143.1675
343.85,574.08,1058.46,1076.4,1554.8,180.895
288.84,683.92,906.36,1407.68,1992,161.02
364.72,676.8,1218.24,1443.84,1936.4,199.28
404.275,887.05,1095.075,1617.1,1942.875,178.5875
397.92,928.48,1380.285,1425.88,1885.975,250.7725
491.7,911.88,1488.51,2002.56,2637.3,239.145
482.3,1010.1,1515.15,1983.8,2024.75,216.125
456.87,876.06,1441.26,1789.8,2472.75,249.63
437.85,1138.41,1444.905,1965.46,2505.475,260.2775
473.69,862.96,1392.93,2232.44,2298.1,229.81
526.125,1070.55,1523.475,1665.3,2493.375,208.1625
505.68,993.3,1422.225,1589.28,2438.1,270.9
438.06,1081.74,1354.41,1877.4,2056.2,261.495
507.15,776.16,1349.46,1816.92,2249.1,205.065
498.85,907,1646.205,1687.02,2063.425,192.7375
430.215,939.55,1349.985,1839.54,2447.775,299.1725
525.37,932.9,1517.19,2101.48,2675.95,245.5
478.965,1009.71,1165.05,1656.96,2330.1,252.4275
437.19,828.36,1196.52,1764.1,1879.15,182.1625
314.405,628.81,1150.515,1423.46,2073,165.84
280.35,693,1011.15,1197,1638,154.35
287.1,539.4,765.6,1009.2,1638.5,123.25
312.465,517.96,751.605,1328.68,1365.275,128.0825
286.335,646.38,807.975,1349.46,1332.45,123.3225
278.07,508.3,816.27,1351.48,1584.7,136.045
361.88,604.24,1055.76,1354.56,1577,197.54
424.88,782.08,1071.6,1398.72,1917.6,219.96
349.325,863.5,1389.45,1774.1,1864.375,198.2125
447.66,804.13,1430.025,1409.3,1885.975,215.54
429.12,894,1528.74,1555.56,2100.9,232.44
527.8,955.5,1310.4,2020.2,2479.75,234.325
433.32,894.9,1455.39,1959.36,2519.85,204.885
418.39,836.78,1240.575,2160.06,2432.5,238.385
440.86,1050.56,1688.4,2119.88,2110.5,243.88
526.125,1088.85,1454.85,2141.1,2218.875,272.2125
519.225,1074.57,1611.855,1824.06,2325.225,230.265
531.93,965.52,1300.77,1948.92,2235,216.795
401.31,776.16,1494.99,1799.28,2293.2,202.86
385.475,879.79,1156.425,1614.46,2358.2,229.0175
548.895,890.1,1646.685,1720.86,2447.775,210.1625
525.37,1188.22,1590.84,1846.16,2602.3,252.865
466.02,1044.23,1514.565,2053.94,2092.775,189.86
402.675,651.95,1380.6,1764.1,1687.4,164.905
373.14,628.81,1098.69,1506.38,1882.975,176.205
374.85,548.1,954.45,1134,1701,176.4
246.5,661.2,913.5,1403.6,1421,152.25
292.76,529.22,844.5,968.36,1266.75,132.305
286.335,510.3,1003.59,1179.36,1431.675,144.585
322.92,723.58,941.85,1100.32,1704.3,162.955
401.72,737.04,926.28,1434.24,1460.8,170.98
436.16,894.88,1116.72,1504,1917.6,163.56
349.325,769.3,1283.475,1758.4,2256.875,202.1375
439.37,928.48,1417.59,1989.6,1885.975,211.395
420.18,1001.28,1421.46,1519.8,2391.45,261.495
532.35,1001,1255.8,2129.4,2047.5,207.025
461.58,1092.72,1497.78,2223.12,2307.9,261.405
452.445,1089.76,1722.21,1907.08,2359.525,206.7625
422.1,1013.04,1252.23,2251.2,2063.6,281.4
448.35,1070.55,1358.775,1738.5,2218.875,205.875
492.135,930.09,1571.22,1553.16,2550.975,207.69
527.46,822.48,1488.51,1770.12,2302.05,243.615
405.72,855.54,1336.23,1605.24,1874.25,220.5
412.685,988.63,1496.55,2122.38,2108.775,201.8075
598.345,929.66,1750.53,2136.24,2348.875,229.9425
471.36,1011.46,1649.76,2317.52,2896.9,208.675
448.76,742.18,1333.335,1743.26,2006.475,254.585
368.16,874.38,1012.44,1733.42,2205.125,176.41
304.04,801.56,953.58,1312.9,1762.05,200.39
289.8,667.8,1115.1,1071,1496.25,173.25
249.4,533.6,843.9,1322.4,1580.5,123.25
247.72,664.34,878.28,1126,1280.825,153.4175
255.15,544.32,927.045,1179.36,1502.55,136.08
287.04,687.7,1013.61,1303.64,1375.4,156.975
298.8,624.16,876.48,1567.04,1809.4,164.34
421.12,646.72,1229.52,1293.44,2030.4,227.48
471,745.75,1318.8,1789.8,2099.875,194.2875
431.08,746.1,1218.63,1691.16,1844.525,211.395
406.77,822.48,1166.67,1966.8,1944.45,207.855
486.85,1010.1,1392.3,2093,2502.5,268.45
471,1017.36,1483.65,1695.6,2425.65,233.145
510.825,1002.19,1488.69,2004.38,2408.175,272.44
567.49,853.58,1575.84,1932.28,2626.4,267.33
498.675,869.25,1331.325,1976.4,2196,260.775
483.105,875.91,1151.325,1607.34,2347.8,218.9775
487.23,1028.1,1448.28,1895.28,1899.75,252.555
449.82,1005.48,1243.62,2028.6,1874.25,238.14
394.545,843.51,1374.105,1668.88,1972.725,260.7625
430.215,949.44,1424.16,2136.24,2521.95,222.525
530.28,972.18,1767.6,2317.52,2479.55,294.6
513.485,940.67,1488.675,2002.16,1920.175,207.12
341.315,905.06,1323.075,1426.62,1706.575,164.905
338.59,739.37,1129.785,1561.66,1537.475,174.4775
346.5,554.4,1096.2,1323,1527.75,179.55
298.7,493,835.2,1183.2,1566,143.55
242.09,624.93,768.495,990.88,1210.45,121.045
317.52,652.05,859.005,1190.7,1573.425,151.6725
257.14,651.82,1085.37,1375.4,1524.9,127.075
332,790.16,866.52,1195.2,1776.2,169.32
451.2,902.4,1240.8,1654.4,1729.6,163.56
380.725,753.6,1248.15,1836.9,2060.625,168.775
476.675,870.45,1280.805,1525.36,1906.7,196.8875
411.24,1019.16,1622.61,2145.6,2525.55,230.205
445.9,846.3,1324.05,2165.8,2525.25,252.525
480.42,1120.98,1469.52,2185.44,2119.5,226.08
535.15,943.81,1663.83,1790.32,2310.875,211.6275
464.31,816.06,1195.95,1613.36,2696.75,208.705
484.95,988.2,1633.275,1683.6,1990.125,233.325
397.32,966.21,1219.05,1769.88,2618.7,257.355
420.18,777.78,1233.72,2020.44,2637.3,234.675
458.64,784.98,1402.38,2063.88,2249.1,227.115
476.175,907,1578.18,1705.16,2176.8,258.495
593.4,1087.9,1468.665,1839.54,2546.675,271.975
554.83,982,1576.11,2258.6,2823.25,230.77
422.87,949.3,1242.72,2036.68,2157.5,245.955
410.345,690.3,1334.58,1564.68,1936.675,220.5125
393.87,684.09,1171.245,1492.56,1692.95,195.2075
349.65,655.2,1030.05,1360.8,1559.25,141.75
310.3,510.4,983.1,1113.6,1580.5,130.5
284.315,608.04,971.175,1204.82,1491.95,164.6775
331.695,555.66,824.985,1338.12,1275.75,167.265
290.03,651.82,789.36,1255.8,1405.3,131.56
348.6,604.24,976.08,1527.2,1792.8,199.2
357.2,729.44,1082.88,1699.52,1673.2,225.6
396.425,879.2,1365.9,1381.6,1746.625,180.55
472.53,704.65,1243.5,1724.32,2259.025,217.6125
393.36,938.7,1501.92,1662.84,2167.95,263.73
550.55,855.4,1597.05,1820,2639,275.275
541.65,1073.88,1709.73,1676.76,2543.4,244.92
574.07,924.35,1707.615,2218.44,2919,270.0075
408.03,844.2,1603.98,2007.32,2251.2,204.015
462.075,823.5,1454.85,1592.1,2447.625,256.2
528.255,930.09,1449.315,2131.08,2099.475,203.175
402.3,992.34,1609.2,2056.2,1966.8,196.68
388.08,970.2,1574.37,1622.88,2072.7,235.935
448.965,925.14,1646.205,1578.18,2426.225,210.8775
529.115,1176.91,1557.675,1839.54,2917.55,274.4475
510.64,982,1576.11,2258.6,2528.65,272.505
405.61,888.89,1372.17,1501.62,2071.2,258.9
371.995,697.97,1162.005,1549.34,1859.975,230.1
314.405,587.35,1088.325,1326.72,1710.225,181.3875
324.45,617.4,1143.45,1524.6,1575,140.175
290,667,748.2,1229.6,1247,153.7
281.5,641.82,827.61,1013.4,1266.75,125.2675
303.345,680.4,867.51,1360.8,1219.05,157.3425
290.03,556.14,1031.55,1351.48,1704.3,137.54
318.72,717.12,966.12,1394.4,1643.4,197.54
391.04,654.24,1150.56,1789.76,1654.4,199.28
455.3,800.7,1177.5,1460.1,2021.375,192.325
385.485,746.1,1367.85,1658,2031.05,201.0325
522.99,831.42,1461.69,1662.84,2078.55,245.85
445.9,773.5,1242.15,1547,2229.5,263.9
442.74,857.22,1384.74,2147.76,2025.3,268.47
442.715,1128.68,1298.955,2004.38,2651.425,248.115
450.24,1106.84,1547.7,1594.6,2790.55,234.5
402.6,924.15,1194.075,2177.7,2539.125,196.725
415.38,912.03,1422.225,2076.9,2234.925,273.1575
433.59,920.82,1408.05,1519.8,2682,263.73
485.1,855.54,1600.83,1728.72,2381.4,205.065
498.85,961.42,1333.29,1959.12,2698.325,226.75
440.105,1176.91,1750.53,2195.58,2892.825,227.47
476.27,903.44,1281.51,1924.72,2160.4,245.5
474.65,785.33,1177.995,1829.56,2092.775,185.545
444.86,790.01,1265.55,1319.24,2070.9,212.8425
317.86,718.64,1243.8,1506.38,1537.475,202.1175
378,579.6,1067.85,1071,1338.75,162.225
266.8,696,948.3,1090.4,1537,131.95
306.835,596.78,869.835,1013.4,1590.475,132.305
289.17,567,850.5,1349.46,1318.275,131.8275
263.12,633.88,1004.64,1219.92,1390.35,148.005
395.08,737.04,1105.56,1195.2,1527.2,170.98
360.96,902.4,1128,1534.08,2274.8,189.88
333.625,863.5,1271.7,1821.2,2158.75,237.4625
468.385,837.29,1168.89,1442.46,2445.55,205.1775
415.71,885.06,1555.56,2074.08,2458.5,245.85
404.95,1046.5,1515.15,1747.2,2093,250.25
555.78,1120.98,1455.39,1620.24,2119.5,221.37
437.85,934.08,1313.55,1965.46,2700.075,209.195
520.59,806.68,1618.05,1819.72,2673.3,236.845
411.75,960.75,1564.65,1720.2,2196,219.6
